name,line
Participant,i don't like some of the uh policies with regard to
Participant,um uh the smoking you know i really wish that the
Participant,uh
Participant,government would crack down on smoking on the streets make it like u_s_c
Ellie,see_mean (i see what you mean)
Participant,yeah
Ellie,travel_shoes (i'm sure you can tell by my shoes i'm not much of a world explorer do you travel a lot)
Participant,no not outside of uh uh
Participant,getting on the bus and things like that
Ellie,okay_confirm (okay)
Ellie,study (what did you study at school)
Participant,i was studying to be a nurse
Ellie,sounds_interesting (that sounds interesting)
Participant,yeah
Ellie,hard_decision (how did you decide to do that)
Participant,i wanted to uh have a job that pays well
Participant,but uh afforded me um
Participant,the opportunity to use my um service gift
Participant,so yeah
Ellie,uh_huh (uh huh)
Ellie,still_working_on_X (are you still working in that)
Participant,no i had to put that uh
Participant,put that on the side and uh
Participant,i want to get a business degree now
Participant,yeah
Ellie,cool3 (cool)
Participant,<laughter>
Ellie,dream_job (what's your dream job)
Participant,my dream job is um
Participant,is to
Participant,create new technology
Ellie,tell_about_that (can you tell me about that)
Participant,mm other than to say i would like to uh create something that
Participant,would change the world like steve jobs with his iphone
Ellie,thats_good (that's good)
Participant,yeah
Ellie,shyoutgoing (do you consider yourself more shy or outgoing)
Participant,i am it depends on the situation but i'm more outgoing
Participant,i do
Participant,tend towards a little shyness from time to time
Ellie,relax_fishtank (sometimes when i'm feeling tense i turn on the fish tank screensaver hey i know it's not hawaii but it's the best i've got what do you do to relax)
Participant,mhm
Participant,mm
Participant,mm
Participant,<laughter>
Participant,um what i do is i'll go to the movies
Ellie,bouts_symptoms (when was the last time that happened)
Participant,um i went to the movies probably like uh maybe five weeks ago
Participant,yeah
Ellie,okay_confirm (okay)
Ellie,last_argument (when was the last time you argued with someone and what was it about)
Participant,um
Participant,well i had a argument recently not really a argument but a disagreement
Participant,with a woman at my church who um
Participant,is over
Participant,this particular department that i'm in
Participant,and it's a volunteer position uh
Participant,i use my uh administrative assistant um more executive assistant skills
Participant,to uh
Participant,to uh
Participant,i do minutes for meetings that i cover
Participant,and um and so then i have to um produce the minutes and send them to everybody and things like that
Participant,and uh this person um
Participant,is micromanaging me uh but not micromanaging the other
Participant,uh admin assistant who
Participant,did not get her block of people into this particular meeting
Participant,so the meeting should've been comprised of a hundred people
Participant,but we had like maybe thirty no wasn't even thirty twenty
Participant,yes <laughter> so um
Ellie,wow (wow)
Participant,now she doesn't know that i realize you know that part of it
Participant,so um
Participant,there was a little bit of a argument and uh but again not a argument but a disagreement
Participant,and when we talk again i will
Ellie,yeah_downer (yeah)
Participant,point out to um the person that's over both of us that there is a disconnect
Participant,and um the the energy she <sh> she's investing
Participant,uh in me is uh unprofitable
Participant,for what we're trying to achieve
Participant,don't that doesn't that sound good <laughter>
Ellie,see_mean (i see what you mean)
Participant,yeah
Ellie,yeah_downer (yeah)
Ellie,describe_felt (how did you feel in that moment)
Participant,well a little attacked
Participant,you know
Participant,so
Ellie,okay_confirm (okay)
Ellie,control_temper (how are you at controlling your temper)
Participant,it depends on i'm very good at controlling my temper
Participant,it's uh you know there are places where you can
Participant,allow your temper to come out
Participant,even though it might not be appropriate and then there are other places where if it comes out then you shot yourself in the foot
Participant,so uh i'm pretty good at controlling my temper
Ellie,thats_good (that's good)
Participant,yeah
Ellie,situation_handled (tell me about a situation that you wish you had handled differently)
Participant,um
Participant,i don't have any situation
Participant,recent that i can think of um
Participant,probably say
Participant,um
Participant,just dealing with a neighbor uh instead of uh
Participant,uh responding to the neighbor just ignore the neighbor altogether so i wish i had done that differently
Ellie,mhm (mhm)
Participant,yeah
Ellie,hard_decisionB (tell me about the hardest decision you've ever had to make)
Participant,hmm
Participant,thankfully
Participant,i've not had to make that type of decision
Participant,in my life as yet
Ellie,okay_confirm (okay)
Participant,mhm
Ellie,memory_erase (tell me about an event or something that you wish you could erase from your memory)
Participant,hmm
Participant,um
Participant,mm
Participant,i have um
Participant,what i do in my life and and you know in my
Participant,going forward you know um
Participant,everything that
Participant,i've done and everything that has happened
Participant,i
Participant,accept it as something that
Participant,has to be
Participant,to get me to go forward
Participant,uh i am a born again christian and so i know that
Participant,that god is sovereign over my life
Participant,uh and also that according to his word
Participant,the bible says that every day of our life is written in his book
Participant,so events and circumstances
Participant,um
Participant,i feel that i feel they are ordained by god now obviously i'm not going to
Participant,um jump into a
Participant,burning fire or do anything ridiculous
Participant,but um
Ellie,right2 (right)
Participant,i feel that things that had happened <hap> that have happened even if i've dealt with them the wrong way
Participant,uh it's god's
Participant,sovereignty <s> his
Participant,total sovereignty has control over that and it will work for my good
Participant,so that's how i feel
Ellie,mm (mm)
Ellie,family_relationship (tell me about your relationship with your family)
Participant,um
Participant,i have all brothers
Participant,and so i'm not really that close with my brothers
Participant,and my mother
Ellie,influence_positive (who's someone that's been a positive influence in your life)
Participant,say that again
Ellie,influence_positive (who's someone that's been a positive influence in your life)
Participant,um people that i've grown up with um
Participant,neighbors from when i've
Participant,uh when i was younger
Participant,uh that i was close to
Participant,um uh
Participant,different friends
Participant,uh that i've had along the way uh friends who
Participant,are more like family
Participant,so yeah
Ellie,mhm (mhm)
Participant,they've had positive influence
Ellie,easy_sleep (how easy is it for you to get a good night's sleep)
Participant,that's i get i sleep too well <laughter>
Participant,so i sleep well every night
Participant,so
Ellie,feel_lately (how have you been feeling lately)
Participant,normal
Participant,but i my normal i've been feeling my normal
Ellie,behavior_changes (have you noticed any changes in your behavior or thoughts lately)
Participant,no
Ellie,ptsd_diagnosed (have you ever been diagnosed with p_t_s_d)
Participant,no
Ellie,depression_diagnosed (have you been diagnosed with depression)
Participant,no
Ellie,happy_lasttime (tell me about the last time you felt really happy)
Participant,um
Participant,that was recent
Participant,something happened um
Participant,i was um able to participate
Participant,um
Participant,with um my church on sunday with <wi> i was a pentecost
Participant,it was pentecost sunday meaning it was fifty days after the resurrection of jesus christ
Participant,and so i was able to participate uh in our prayer
Participant,session that we had at my church and uh that was really
Participant,made me very happy
Participant,so
Ellie,good_hear (that's so good to hear)
Participant,mhm
Ellie,BF_describe (how would your best friend describe you)
Participant,that uh i'm smart they would say that i'm smart
Participant,that uh
Participant,that i handle difficulties very well
Participant,um
Participant,and that i dress well <laughter>
Ellie,wild_laughter3 ((laughter))
Participant,<laughter>
Ellie,self_change (what are some things you wish you could change about yourself)
Participant,um
Participant,i don't wanna change anything
Participant,i do want to just be a better me so be a better person
Participant,uh so um
Participant,i am working on uh listening better
Participant,uh communicating better
Participant,uh and and uh accepting my
Participant,uh
Participant,weaknesses better as well as my strengths
Ellie,okay_confirm (okay)
Ellie,regret (is there anything you regret)
Participant,no
Ellie,advice_back (what advice would you give to yourself ten or twenty years ago)
Participant,mm that's a good question
Participant,i would have uh
Participant,i would've told myself to
Participant,to uh do what i know to do to do what i know
Participant,uh that which is right and um ooh xxx
Participant,uh to do
Participant,what i know is right
Participant,and uh let everything else let
Participant,the other chips fall where they may
Participant,but to do what i know to do is right
Ellie,mhm (mhm)
Participant,and to go forward
Ellie,mm (mm)
Ellie,Ellie17Dec2012_08 (what are you most proud of in your life)
Participant,um
Participant,i am very proud of the fact that
Participant,uh i don't give up
Ellie,asked_everything (okay i think i have asked everything i need to)
Ellie,appreciate_open (thanks for sharing your thoughts with me)
Ellie,bye (goodbye)
Participant,bye and thank you
Participant,see ya'll <laughter>
Participant,<synch>
Ellie,IntroV4Confirmation (hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you ok with this)
Participant,yes
Ellie,okay_confirm (okay)
Ellie,how_doingV (so how are you doing today)
Participant,huh overwhelmed
Ellie,why2 (why)
Participant,i have a funeral to attend tomorrow i found out from my doctor i got some
Participant,health issues
Ellie,sorry_hear (i'm sorry to hear that)
Ellie,been_hard (that sounds really hard)
Participant,it is hard
Ellie,symptoms_cope (how do you cope with them)
Participant,honey i am just putting one foot in front of the other and just trying to get it done
Ellie,yeah_downer (yeah)
Ellie,difficult (how hard is that)
Participant,like i said i'm overwhelmed but i can't stop doing what i need to do
Ellie,yeah_downer (yeah)
Ellie,where_originally (where are you from originally)
Participant,i am from united states of america i was born here in los angeles
Ellie,like_about_LA (what are some things you really like about l_a)
Participant,oh i love the beach honey i like the weather
Participant,um
Participant,the beach and the weather
Ellie,mhm (mhm)
Ellie,dont_like_LA (what are some things you don't really like about l_a)
Participant,oh the traffic
Participant,and the people
Participant,and this hollywood type image
Ellie,see_mean (i see what you mean)
Ellie,travel_shoes (i'm sure you can tell by my shoes i'm not much of a world explorer do you travel a lot)
Participant,uh not as much as i used to but i've been to europe i went on a
Participant,uh on a cruise um several cruise
Participant,uh been to jamaica canada mexico
Participant,spain morocco um
Participant,london
Ellie,nice (nice)
Participant,portugal <por> portugal yeah
Participant,and i'm going to hawaii in august
Ellie,travel_changed (what do you enjoy about traveling)
Participant,meeting new people and just seeing new things and just
Participant,assimilating into other people's culture and
Participant,uh customs and traditions
Ellie,travel_trips (i'd love to hear about one of your trips)
Participant,oh the best trip i ever took is when i
Participant,was a student at santa monica college and
Participant,took a trip <tr> uh it was a mediterranean cruise oh my god that was the best time of my life
Ellie,memorableB (what's one of your most memorable experiences)
Participant,oh god um being on that ship
Ellie,describe_felt (how did you feel in that moment)
Participant,i felt electrifying uh fulfilled satisfied
Participant,i felt like um
Participant,i can do it
Participant,and eh and it
Ellie,great_situation (that sounds like a great situation)
Participant,and i it just
Participant,i moved past the fear and just said i'm doing this
Ellie,thats_great (that's great)
Ellie,study (what did you study at school)
Participant,uh i'm in law school i'm xxx gonna i'm gonna be an attorney
Ellie,hard_decision (how did you decide to do that)
Participant,i've always wanted to be an attorney and it's been
Participant,a long time coming
Ellie,dream_job (what's your dream job)
Participant,oh my dream job is to have my own law firm my husband and i
Participant,living in a beach community and
Participant,our friends we know each other the community <communit> the community know <kn> we know each other it's a small town beach community
Participant,having my own law firm working with my husband and
Participant,providing legal services to people
Participant,who are indigent
Ellie,mhm (mhm)
Ellie,shyoutgoing (do you consider yourself more shy or outgoing)
Participant,uh i'm in the middle
Ellie,why2 (why)
Participant,um it's one side of me that just like to withdraw and you know don't wanna be out in the front
Participant,and it's another part of the personality is like oh no we're being in the front we're gonna be seen and eh we're <w> we're constantly in conflict
Ellie,wild_laughter3 ((laughter))
Ellie,understand (i understand)
Ellie,relax_fishtank (sometimes when i'm feeling tense i turn on the fish tank screensaver hey i know it's not hawaii but it's the best i've got what do you do to relax)
Participant,yeah
Participant,oh i get on my bike and ride my bike
Ellie,control_temper (how are you at controlling your temper)
Participant,ooh it depends on what the situation is i need to control that
Ellie,landed_trouble (has that gotten you in trouble)
Participant,mm not trouble but it made it has made people back up off of me
Ellie,last_argument (when was the last time you argued with someone and what was it about)
Participant,oh god when was the last time i really had a argument i don't know it's been awhile um
Participant,argument
Participant,it's been a long time
Participant,that i can't even remember
Ellie,okay_confirm (okay)
Ellie,situation_handled (tell me about a situation that you wish you had handled differently)
Participant,oh god let's see
Participant,<sigh> goodness
Participant,mm
Participant,mm
Participant,oh just dealing with my siblings and my family and
Participant,just trying to diffuse the situation and not get so heated and
Participant,just remain cool and calm and collected
Ellie,give_example (can you give me an example of that)
Participant,oh when my mother passed years ago it was a conflict over her belongings and
Participant,all that stuff and you know it was stressful time and everybody else <el> everybody's emotion was kinda high and
Participant,arguing back and forth and i'm like i'm not doing that
Ellie,yeah_downer (yeah)
Ellie,family_relationship (tell me about your relationship with your family)
Participant,distant <laughter> and the reality <rea> i just i
Participant,it's just amazing that these people no i shouldn't say these people
Participant,that my we grew up in the family <fam> we grew up in the same household and then as we got older you know xxx god takes us on different path
Participant,it's just like who are these people or did i grow up in a household with 'em why <wh> why are they and they may say the same thing about me i don't know i just like to have peaceful living honey
Ellie,mhm (mhm)
Ellie,influence_positive (who's someone that's been a positive influence in your life)
Participant,pardon me
Ellie,influence_positive (who's someone that's been a positive influence in your life)
Participant,oh god positive <po> um uh positive influences
Participant,ooh college professors
Participant,um
Participant,friends
Participant,church members
Participant,um people like that
Ellie,okay_confirm (okay)
Ellie,hard_decisionB (tell me about the hardest decision you've ever had to make)
Participant,ooh god divorce
Participant,should <s> should i continue with my education
Participant,um when my mother was sick to be her primary caretaker put all my dreams and aspirations on hold
Participant,um those have been some doozies
Ellie,Ellie17Dec2012_06 (wow)
Ellie,change_directions (what made you decide to do that)
Participant,well with my mom it's i you only have one mother and when it was over said and done i just wanted to do what was right according
Participant,to what god would want me to do and i didn't wanna
Participant,have any curses over my life but blessings 'cause the bible says honor thy parents
Participant,my mother and father in all thy days so so you can live longer and i wanted
Participant,blessings and not curses
Ellie,memory_erase (tell me about an event or something that you wish you could erase from your memory)
Participant,my marriage <laughter> my marriage
Participant,ugh god that had such a negative influence on my life such a negative impact but in all that it
Participant,taught me
Participant,it made me who i am today
Participant,and i have no animosity
Ellie,mm (mm)
Ellie,easy_sleep (how easy is it for you to get a good night's sleep)
Participant,<sigh> lately it's been so difficult 'cause school and finals and midterms and all that is coming up
Participant,um
Participant,sometimes rather difficult
Ellie,sleep_affects (what are you like when you don't sleep well)
Participant,irritable annoyed
Participant,grouchy
Ellie,feel_lately (how have you been feeling lately)
Participant,well with all this stuff going on with the last week it's been real real real real real crazy
Ellie,see_mean (i see what you mean)
Ellie,symptoms_cope (how do you cope with them)
Participant,god i pray i just i pray i pray i pray i pray lord i pray
Participant,and the one thing that's keeping me kinda like grounded is going to church
Ellie,thats_good (that's good)
Ellie,ptsd_diagnosed (have you ever been diagnosed with p_t_s_d)
Participant,no never
Ellie,depression_diagnosed (have you been diagnosed with depression)
Participant,yeah when i went through that divorce um and my mother passed that i was really depressed
Ellie,symptoms_what (what were your symptoms)
Participant,fatigued tired uh xxx
Participant,xxx
Participant,xxx
Participant,i no matter what i did i couldn't get any enjoyment just
Participant,a feeling of emptiness and loneliness and isolation and
Participant,shock trauma
Participant,hard <har> it was very very very very difficult
Ellie,isee_downer (i see)
Ellie,why_seek_help (what got you to seek help)
Participant,time um
Participant,just time it just took time just to process to
Participant,work its way through
Ellie,therapy_going (do you still go to therapy now)
Participant,no no not at all
Ellie,stop_going (why did you stop)
Participant,just got busy with life stuff
Ellie,therapy_useful (do you feel like therapy is useful)
Participant,yeah i need somebody to talk to <laughter> yes
Ellie,therapist_affect (how has seeing a therapist affected you)
Participant,oh god we i loved my therapist
Participant,uh we talked things out and she gives me a different perspective and she just listened to me
Ellie,thats_good (that's good)
Ellie,happy_lasttime (tell me about the last time you felt really happy)
Participant,oh god
Participant,well there's this guy at church and i really like him and he likes me and he throws kisses at me so
Ellie,aw (aw)
Participant,and he's a
Ellie,BF_describe (how would your best friend describe you)
Participant,oh outgoing um
Participant,determined
Participant,yeah trustworthy
Participant,faithful and loyal
Ellie,mhm (mhm)
Ellie,self_change (what are some things you wish you could change about yourself)
Participant,oh god
Participant,to be more patient
Participant,um
Participant,to be more patient
Ellie,okay_confirm (okay)
Ellie,feelbadly (tell me about a time when someone made you feel really badly about yourself)
Participant,oh my ex-husband he did that on a daily daily thing and i'm just so glad to get rid of him
Ellie,advice_back (what advice would you give to yourself ten or twenty years ago)
Participant,<sigh>
Participant,know your worth
Participant,your value
Participant,and have high self-esteem
Ellie,okay_confirm (okay)
Ellie,ideal_weekendC (tell me how you spend your ideal weekend)
Participant,well now with school in the library with tutors uh
Participant,my outlet is riding my bike or either going swimming
Ellie,Ellie17Dec2012_10 (tell me about something you did recently that you really enjoyed)
Participant,oh a friend of mine um had a c_d release party and me and a excuse me <yawn>
Participant,ooh excuse me and me and another friend got together and we catered the party and it was so nice and they were so happy they were so thankful and grateful so thankful
Participant,and then he invited me on stage 'cause he sings
Participant,and
Participant,i felt so when i got up on stage 'cause i like to sing but i'm so shy in front of people and they're judgmental and they might look at me
Participant,and i got up on that stage and i just i'm like well this <th> is this how this feel this feels good <laughter>
Ellie,yeah2 (yeah)
Ellie,wild_laughter3 ((laughter))
Participant,oh god i aw man
Ellie,nice (nice)
Ellie,awesome (awesome)
Ellie,Ellie17Dec2012_08 (what are you most proud of in your life)
Participant,oh my accomplishments <acc> my accomplishments um
Participant,overcoming 'em one by one
Participant,setting a goal and reaching 'em
Ellie,thats_great (that's great)
Ellie,asked_everything (okay i think i have asked everything i need to)
Participant,okay
Ellie,appreciate_open (thanks for sharing your thoughts with me)
Participant,thank you honey <hon>
Ellie,bye (goodbye)
Participant,bye
Participant,<synch>
Ellie,IntroV4Confirmation (hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you ok with this)
Participant,yeah
Ellie,okay_confirm (okay)
Ellie,how_doingV (so how are you doing today)
Participant,i'm doing already how are you doing
Ellie,thats_good (that's good)
Ellie,where_originally (where are you from originally)
Participant,northern illinois
Ellie,really (really)
Ellie,when_LA (when did you move to l_a)
Participant,two and a half years ago
Ellie,often_backB (how often do you go back to your hometown)
Participant,haven't yet
Participant,since i been here
Ellie,why2 (why)
Participant,haven't had a chance to gonna go back later this year
Ellie,cool3 (cool)
Ellie,compares_LA (how does it compare to l_a)
Participant,colder
Participant,or warmer
Ellie,see_mean (i see what you mean)
Ellie,why_LA (why did you move to l_a)
Participant,work
Ellie,happy_didthat (are you happy you did that)
Participant,yeah
Ellie,adapted_LA (how easy was it for you to get used to living in l_a)
Participant,mm took a little while but i got used to it
Ellie,tell_about_that (can you tell me about that)
Participant,no weather xxx variations comparative um
Participant,traffic
Participant,sunlight
Ellie,mm (mm)
Ellie,travel_shoes (i'm sure you can tell by my shoes i'm not much of a world explorer do you travel a lot)
Participant,a little bit
Ellie,travel_changed (what do you enjoy about traveling)
Participant,seeing different things
Ellie,travel_trips (i'd love to hear about one of your trips)
Participant,been to europe a couple of times
Participant,been around the country
Ellie,nice (nice)
Ellie,memorableB (what's one of your most memorable experiences)
Participant,<sigh> hmm
Participant,visiting yosemite and sequoia parks were fun
Ellie,cool3 (cool)
Ellie,shyoutgoing (do you consider yourself more shy or outgoing)
Participant,depends on the circumstance most of the time i can fake outgoing or try to be outgoing
Ellie,mhm (mhm)
Ellie,what_do_when_annoyed (what do you do when you are annoyed)
Participant,try to relax and breathe through it and move on
Ellie,control_temper (how are you at controlling your temper)
Participant,depends on the context
Ellie,last_argument (when was the last time you argued with someone and what was it about)
Participant,probably yesterday and my children about them not doing what they were told to do
Ellie,situation_handled (tell me about a situation that you wish you had handled differently)
Participant,arguments with my wife where i should've probably been more patient and understanding
Ellie,give_example (can you give me an example of that)
Participant,hmm
Participant,um
Participant,sometimes when it's more of a hormonal period like this week i should just probably breathe through things and
Participant,recognize that she's going through things and i should just be more patient
Ellie,okay_confirm (okay)
Ellie,hard_decisionB (tell me about the hardest decision you've ever had to make)
Participant,um
Participant,what i was gonna do with my life
Ellie,hard_decision (how did you decide to do that)
Participant,it was easy when i was nineteen i could just decide to do strange difficult things and
Participant,had the boldness to follow through with them
Ellie,study (what did you study at school)
Participant,hebrew and semitic studies and classics
Ellie,sounds_interesting (that sounds interesting)
Ellie,still_working_on_X (are you still working in that)
Participant,kind of
Ellie,dream_job (what's your dream job)
Participant,um i'm i'm in ministry and
Participant,that's working out the way i kinda want it to be
Ellie,thats_good (that's good)
Ellie,memory_erase (tell me about an event or something that you wish you could erase from your memory)
Participant,hmm
Participant,some embarrassing things when i was a teenager probably
Ellie,okay_confirm (okay)
Ellie,family_relationship (tell me about your relationship with your family)
Participant,it's pretty strong
Ellie,family_roleB (how close are you to your family)
Participant,i talk to my parents about once a day maybe
Participant,once every other day and
Participant,i'm constantly talking with my wife and children
Participant,xxx
Ellie,kids_elaborate (tell me about your kids)
Participant,i've got four of them they keep me very busy um they're between
Participant,nine and three
Ellie,easy_parent (do you find it easy to be a parent)
Participant,sometimes most of the time no
Ellie,parent_hardest (what's the hardest thing about being a parent)
Participant,character development recognizing that
Participant,they need <n> need space to grow
Ellie,yeah3 (yeah)
Ellie,parent_best (what's the best thing about being a parent)
Participant,when
Participant,when it works and you see character development and growth and
Participant,and exploration
Ellie,parent_differences (what are some ways that you're different as a parent than your parents)
Participant,i have more standards willingness to enforce standards
Ellie,influence_positive (who's someone that's been a positive influence in your life)
Participant,mm <sigh> mm
Participant,my wife
Ellie,tell_about_that (can you tell me about that)
Participant,um
Participant,she's been there for me for fifteen years now and
Participant,helped give me the self-confidence to be who i am
Ellie,good_hear (that's so good to hear)
Ellie,easy_sleep (how easy is it for you to get a good night's sleep)
Participant,better now that i'm not drinking as much pop at night
Ellie,sleep_affects (what are you like when you don't sleep well)
Participant,irritable
Participant,shorter temper
Ellie,mhm (mhm)
Ellie,feel_lately (how have you been feeling lately)
Participant,mm
Participant,pretty good pretty good i'm doing
Participant,been making some better uh decisions with my uh diet it's doing better
Ellie,thats_great (that's great)
Ellie,behavior_changes (have you noticed any changes in your behavior or thoughts lately)
Participant,<sigh>
Participant,mm
Participant,feel a little bit more empowered not as defeatist as i was in a process where i wasn't eating very well wasn't exercising
Participant,wasn't able to get doing those things i've been doing a little better at that recently past few weeks and that's been a little bit more encouraging
Ellie,uh_huh (uh huh)
Ellie,ptsd_diagnosed (have you ever been diagnosed with p_t_s_d)
Participant,no
Ellie,depression_diagnosed (have you been diagnosed with depression)
Participant,nope
Ellie,happy_lasttime (tell me about the last time you felt really happy)
Participant,really happy um
Participant,probably a few weeks ago at the beach when everybody was having a good time
Ellie,BF_describe (how would your best friend describe you)
Participant,hmm
Participant,confident
Participant,loud
Participant,intelligent
Ellie,okay_confirm (okay)
Participant,i guess
Ellie,self_change (what are some things you wish you could change about yourself)
Participant,hmm more patient
Participant,more um
Participant,more able to
Participant,automatically engage with people as opposed to being hesitant at first
Ellie,mm (mm)
Ellie,feelbadly (tell me about a time when someone made you feel really badly about yourself)
Participant,oh
Participant,middle school when i was always the
Participant,low man on the totem pole socially
Participant,<sniffle>
Participant,being the constant butt of jokes
Ellie,advice_back (what advice would you give to yourself ten or twenty years ago)
Participant,don't fall in the trap of thinking that middle and high school is life
Ellie,mhm (mhm)
Ellie,ideal_weekendC (tell me how you spend your ideal weekend)
Participant,<laughter>
Participant,um some time you know with children and family doing <d> doing some fun activity beach or museum or something
Participant,some time with the wife some time just by myself to read and kinda refocus
Ellie,okay_confirm (okay)
Ellie,Ellie17Dec2012_10 (tell me about something you did recently that you really enjoyed)
Participant,hmm
Participant,mm participate in some high level academic discussions
Ellie,cool3 (cool)
Ellie,Ellie17Dec2012_08 (what are you most proud of in your life)
Participant,hmm
Participant,that i've been able to
Participant,maintain the standard and quality of life for myself and my family that i've been able to do so far
Ellie,thats_great (that's great)
Ellie,asked_everything (okay i think i have asked everything i need to)
Ellie,appreciate_open (thanks for sharing your thoughts with me)
Ellie,bye (goodbye)
Participant,<synch>
Ellie,IntroV4Confirmation (hi i'm ellie thanks for coming in today i was created to talk to people in a safe and secure environment i'm not a therapist but i'm here to learn about people and would love to learn about you i'll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you ok with this)
Participant,yes
Ellie,okay_confirm (okay)
Ellie,how_doingV (so how are you doing today)
Participant,i'm doing well
Participant,thank you
Ellie,thats_good (that's good)
Ellie,where_originally (where are you from originally)
Participant,san luis obispo
Ellie,really (really)
Ellie,when_LA (when did you move to l_a)
Participant,yes
Participant,four years ago
Ellie,often_backB (how often do you go back to your hometown)
Participant,about once a month
Ellie,compares_LA (how does it compare to l_a)
Participant,small quiet
Participant,fresh air
Participant,less people
Participant,it's nice
Ellie,why_LA (why did you move to l_a)
Participant,i went to school in los angeles
Ellie,cool3 (cool)
Participant,<laughter>
Ellie,study (what did you study at school)
Participant,i studied music industry
Ellie,still_working_on_X (are you still working in that)
Participant,yes i work in the music industry
Ellie,awesome (awesome)
Ellie,hard_decision (how did you decide to do that)
Participant,it is a passion of mine and i
Participant,got into school and went with it
Ellie,difficult (how hard is that)
Participant,how hard is what
Ellie,dream_job (what's your dream job)
Participant,<laughter>
Participant,i don't really have a dream job i don't know if that exists
Ellie,okay_confirm (okay)
Participant,actually it's probably changing all the time
Ellie,see_mean (i see what you mean)
Participant,<laughter>
Ellie,shyoutgoing (do you consider yourself more shy or outgoing)
Participant,depends on the situation
Participant,sometimes i'm shy and sometimes i'm outgoing
Ellie,travel_shoes (i'm sure you can tell by my shoes i'm not much of a world explorer do you travel a lot)
Participant,well i can't see your shoes but i like to travel yes
Ellie,travel_changed (what do you enjoy about traveling)
Participant,meeting new people seeing new things
Participant,exploring the landscape
Ellie,travel_trips (i'd love to hear about one of your trips)
Participant,uh i went to alaska
Participant,on a fishing trip
Ellie,nice (nice)
Ellie,memorableB (what's one of your most memorable experiences)
Participant,on that trip
Ellie,mhm (mhm)
Participant,um catching an octopus
Ellie,tell_about_that (can you tell me about that)
Participant,i was deep sea fishing and for halibut
Participant,and rather than catching a halibut
Participant,i lured in a octopus
Ellie,wow (wow)
Ellie,relax_fishtank (sometimes when i'm feeling tense i turn on the fish tank screensaver hey i know it's not hawaii but it's the best i've got what do you do to relax)
Participant,very <laughter>
Participant,<laughter>
Participant,i play golf i swim
Participant,i read
Ellie,uh_huh (uh huh)
Ellie,control_temper (how are you at controlling your temper)
Participant,i'm pretty calm
Ellie,last_argument (when was the last time you argued with someone and what was it about)
Participant,um probably couple days ago but it was
Participant,and it was about
Participant,a musical project that i was involved in
Ellie,describe_felt (how did you feel in that moment)
Participant,i felt heated
Ellie,okay_confirm (okay)
Ellie,feelguilty (what's something you feel guilty about)
Participant,<laughter>
Participant,i'm not quite sure
Ellie,situation_handled (tell me about a situation that you wish you had handled differently)
Participant,i'm not quite sure
Ellie,hmm_downer (hmm)
Ellie,hard_decisionB (tell me about the hardest decision you've ever had to make)
Participant,i'd have to think about that for a while
